plant_id,fips_raw,county_FIPS,coord_lat,coord_long,coords,plant_name,plant_state,census_region,NERC_region,prime_mover,reported_FTC,AER_FTC,AER_FTC_full,MMBTU_con_tot_YTD,MMBTU_con_elec_YTD,MWh_net_gen_elec_YTD
1,2013,02013,55.339722,-160.497222,"55.339722,-160.497222",Sand Point,AK,PACN,,IC,DFO,DFO,Distillate Petroleum,28934,28934,2758
1,2013,02013,55.339722,-160.497222,"55.339722,-160.497222",Sand Point,AK,PACN,,WT,WND,WND,Wind,9101,9101,1022
2,1125,01125,33.458665,-87.356823,"33.458665,-87.356823",Bankhead Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,0,0,-284
3,1097,01097,31.0069,-88.0103,"31.0069,-88.0103",Barry,AL,ESC,SERC,CA,NG,NG,Natural Gas,1499638,1499638,2824887
3,1097,01097,31.0069,-88.0103,"31.0069,-88.0103",Barry,AL,ESC,SERC,CT,NG,NG,Natural Gas,55606180,55606180,5306391
3,1097,01097,31.0069,-88.0103,"31.0069,-88.0103",Barry,AL,ESC,SERC,ST,BIT,COL,Coal ,41521966,41521966,4174904.2
3,1097,01097,31.0069,-88.0103,"31.0069,-88.0103",Barry,AL,ESC,SERC,ST,NG,NG,Natural Gas,1662458,1662458,164624.81
3,1097,01097,31.0069,-88.0103,"31.0069,-88.0103",Barry,AL,ESC,SERC,ST,SUB,COL,Coal ,0,0,0
4,1051,01051,32.583889,-86.283056,"32.583889,-86.283056",Walter Bouldin Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,6444458,6444458,723690
7,1019,01019,34.0128,-85.9708,"34.0128,-85.9708",Gadsden,AL,ESC,SERC,ST,NG,NG,Natural Gas,2309980,1981699,169977
8,1127,01127,33.644344,-87.196486,"33.644344,-87.196486",Gorgas,AL,ESC,SERC,ST,BIT,COL,Coal ,4840441,4840441,489541.89
8,1127,01127,33.644344,-87.196486,"33.644344,-87.196486",Gorgas,AL,ESC,SERC,ST,DFO,DFO,Distillate Petroleum,12615,12615,1218.11
9,48141,48141,31.7569,-106.375,"31.7569,-106.375",Copper,TX,WSC,WECC,GT,DFO,DFO,Distillate Petroleum,0,0,0
9,48141,48141,31.7569,-106.375,"31.7569,-106.375",Copper,TX,WSC,WECC,GT,NG,NG,Natural Gas,688550,688550,39534
10,1091,01091,32.6017,-87.7811,"32.6017,-87.7811",Greene County,AL,ESC,SERC,GT,DFO,DFO,Distillate Petroleum,1452,1452,104.114
10,1091,01091,32.6017,-87.7811,"32.6017,-87.7811",Greene County,AL,ESC,SERC,GT,NG,NG,Natural Gas,605246,605246,43505.886
10,1091,01091,32.6017,-87.7811,"32.6017,-87.7811",Greene County,AL,ESC,SERC,ST,NG,NG,Natural Gas,18177517,18177517,1724279
11,1015,01015,33.7845,-86.0524,"33.7845,-86.0524",H Neely Henry Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,2241218,2241218,251681
12,1125,01125,33.2553,-87.4495,"33.2553,-87.4495",Holt Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,1511275,1511275,169711
13,1051,01051,32.6189,-86.2548,"32.6189,-86.2548",Jordan Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,3560726,3560726,399857
14,1115,01115,33.425878,-86.337547,"33.425878,-86.337547",Logan Martin Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,3971985,3971985,446040
15,1021,01021,32.9633,-86.5187,"32.9633,-86.5187",Lay Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,5942154,5942154,667283
16,1051,01051,32.680394,-85.911442,"32.680394,-85.911442",Martin Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,3667033,3667033,411795
17,1001,01001,32.806025,-86.444892,"32.806025,-86.444892",Mitchell Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,4801246,4801246,539163
18,1127,01127,33.9406,-87.1077,"33.9406,-87.1077",Lewis Smith Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,3653151,3653151,410236
19,1051,01051,32.535436,-85.887614,"32.535436,-85.887614",Thurlow Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,2135091,2135091,239763
20,1019,01019,34.172142,-85.753806,"34.172142,-85.753806",Weiss Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,2422402,2422402,272027
21,1051,01051,32.5743,-85.8901,"32.5743,-85.8901",Yates Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,1386829,1386829,155736
26,1117,01117,33.244211,-86.458056,"33.244211,-86.458056",E C Gaston,AL,ESC,SERC,GT,DFO,DFO,Distillate Petroleum,3774,3774,147
26,1117,01117,33.244211,-86.458056,"33.244211,-86.458056",E C Gaston,AL,ESC,SERC,ST,BIT,COL,Coal ,28914596,28914596,2788601.2
26,1117,01117,33.244211,-86.458056,"33.244211,-86.458056",E C Gaston,AL,ESC,SERC,ST,NG,NG,Natural Gas,30638807,30638807,2900181.8
30,27013,27013,44.0501,-94.4178,"44.0501,-94.4178",Madelia,MN,WNC,MRO,IC,DFO,DFO,Distillate Petroleum,1041,1041,-119
30,27013,27013,44.0501,-94.4178,"44.0501,-94.4178",Madelia,MN,WNC,MRO,IC,NG,NG,Natural Gas,0,0,0
34,6061,06061,39.134259,-120.953341,"39.134259,-120.953341",Rollins,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,676122,676122,75926
38,1099,01099,32.100881,-87.399767,"32.100881,-87.399767",Millers Ferry,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,2600866,2600866,292068
46,1083,01083,34.7042,-87.1189,"34.7042,-87.1189",Browns Ferry,AL,ESC,SERC,ST,NUC,NUC,Nuclear,308236237,308236237,29519900
47,1033,01033,34.7439,-87.8486,"34.7439,-87.8486",Colbert,AL,ESC,SERC,GT,DFO,DFO,Distillate Petroleum,0,0,0
47,1033,01033,34.7439,-87.8486,"34.7439,-87.8486",Colbert,AL,ESC,SERC,GT,NG,NG,Natural Gas,42972,42972,1670
48,1009,01009,34.421272,-86.393931,"34.421272,-86.393931",Guntersville,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,5944293,5944293,667523
49,1033,01033,34.8069,-87.3819,"34.8069,-87.3819",Wheeler Dam,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,14517820,14517820,1630300
51,22031,22031,32.030556,-93.569167,"32.030556,-93.569167",Dolet Hills,LA,WSC,SERC,ST,LIG,COL,Coal ,14688173,14688173,1155297.8
51,22031,22031,32.030556,-93.569167,"32.030556,-93.569167",Dolet Hills,LA,WSC,SERC,ST,NG,NG,Natural Gas,152502,152502,10532.188
51,22031,22031,32.030556,-93.569167,"32.030556,-93.569167",Dolet Hills,LA,WSC,SERC,ST,PG,WOO,Waste Oil,0,0,0
53,1035,01035,31.4033,-86.479469,"31.4033,-86.479469",Gantt,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,26743,26743,3003
54,21049,21049,37.8833,-84.1017,"37.8833,-84.1017",J K Smith,KY,ESC,SERC,GT,DFO,DFO,Distillate Petroleum,2397,2397,199.479
54,21049,21049,37.8833,-84.1017,"37.8833,-84.1017",J K Smith,KY,ESC,SERC,GT,NG,NG,Natural Gas,4573169,4573169,355450.52
55,1035,01035,31.361146,-86.518307,"31.361146,-86.518307",Point A,AL,ESC,SERC,HY,WAT,HYC,Hydroelectric Conventional,95299,95299,10702
56,1129,01129,31.488019,-87.910747,"31.488019,-87.910747",Lowman Energy Center,AL,ESC,SERC,ST,BIT,COL,Coal ,11098392,11098392,947434.56
56,1129,01129,31.488019,-87.910747,"31.488019,-87.910747",Lowman Energy Center,AL,ESC,SERC,ST,DFO,DFO,Distillate Petroleum,90834,90834,7569.443
59,31079,31079,40.854765,-98.348222,"40.854765,-98.348222",Platte,NE,WNC,MRO,ST,DFO,DFO,Distillate Petroleum,5534,5534,463.662
59,31079,31079,40.854765,-98.348222,"40.854765,-98.348222",Platte,NE,WNC,MRO,ST,SUB,COL,Coal ,6083707,6083707,504762.34
60,31001,31001,40.580872,-98.312437,"40.580872,-98.312437",Whelan Energy Center,NE,WNC,MRO,ST,DFO,DFO,Distillate Petroleum,23712,23712,1121.461
60,31001,31001,40.580872,-98.312437,"40.580872,-98.312437",Whelan Energy Center,NE,WNC,MRO,ST,RC,COL,Coal ,14524846,14524846,685756.35
60,31001,31001,40.580872,-98.312437,"40.580872,-98.312437",Whelan Energy Center,NE,WNC,MRO,ST,SUB,COL,Coal ,15479947,15479947,730731.19
62,2110,02110,58.3176,-134.101,"58.3176,-134.101",Annex Creek,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,238306,238306,26761
63,2110,02110,58.3107,-134.4174,"58.3107,-134.4174",Gold Creek,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,3258,3258,366
63,2110,02110,58.3107,-134.4174,"58.3107,-134.4174",Gold Creek,AK,PACN,ASCC,IC,DFO,DFO,Distillate Petroleum,79,79,3
64,2110,02110,58.3536,-134.4953,"58.3536,-134.4953",Lemon Creek,AK,PACN,ASCC,GT,DFO,DFO,Distillate Petroleum,4782,4782,-124
64,2110,02110,58.3536,-134.4953,"58.3536,-134.4953",Lemon Creek,AK,PACN,ASCC,IC,DFO,DFO,Distillate Petroleum,18739,18739,1174
65,2110,02110,58.3269,-134.4631,"58.3269,-134.4631",Salmon Creek 1,AK,PACN,ASCC,HY,WAT,HYC,Hydroelectric Conventional,205697,205697,23099
66,2230,02230,59.4545,-135.3131,"59.4545,-135.3131",Skagway,AK,PACN,,HY,WAT,HYC,Hydroelectric Conventional,17204,17204,1932
66,2230,02230,59.4545,-135.3131,"59.4545,-135.3131",Skagway,AK,PACN,,IC,DFO,DFO,Distillate Petroleum,6867,6867,626
69,2198,02198,59.235931,-135.446228,"59.235931,-135.446228",Haines,AK,PACN,ASCC,IC,DFO,DFO,Distillate Petroleum,2468,2468,-72
70,2130,02130,55.615208,-131.356111,"55.615208,-131.356111",Swan Lake,AK,PACN,,HY,WAT,HYC,Hydroelectric Conventional,484121,484121,54365
