Source,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Coal ,6163.551456,555571.9904,327436.3055,449095.5273,12845.39367,378181.2049,13486.89812,0,17800.50269,544764.1416,579603.8912,17388.41391,390720.1611,764.096106,923651.2541,1090875.676,321777.0407,915596.5401,215905.1216,46176.45065,197219.0785,1124.957621,638687.3016,303566.0845,832002.7955,105713.2505,180105.332,594030.4106,331699.7533,281813.3939,18318.81371,37664.08566,263697.6264,55548.96039,74795.05794,1051922.679,309661.0053,34336.31234,837458.2335,0,325719.286,31815.64261,416046.6476,1610946.95,369416.7479,216017.5096,0,74597.20242,435998.5908,847948.5406,501208.9779
Distillate Petroleum,4687.629372,1048.671607,451.268548,640.505585,575.630595,120.989084,719.801208,447.846,713.265942,4655.186985,1221.193457,15472.85694,1037.485757,1.021,944.277393,1581.80753,560.078444,1238.052875,413.715633,1902.549706,1954.508976,104.554179,1353.352684,485.451348,901.54631,194.29457,120.620159,3512.287062,410.41452,254.05957,483.113428,809.846001,711.853376,166.920733,3936.638523,2981.52861,162.3199,79.202756,4079.196148,482.613837,1501.104271,107.633277,1912.933742,1075.954607,440.125393,5158.211298,22.493334,202.244936,469.652721,1770.305189,541.66326
Geothermal,0,0,0,0,145306.544,59.16,0,0,0,0,0,2539.209,0,900.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.901,32045.81056,0,0,0,1272.343,0,0,0,0,0,0,4467.25312,0,0,0,0,0,0
Hydroelectric Pumped Storage,0,0,504.074,795.484,962.029,-2826.083,45.022,0,0,0,-7084.801,0,0,0,0,0,0,0,0,-5560.449,0,0,-9387.106,0,3472.705,0,0,0.116,0,0,0,-2216.662,0,0,-5517.676,0,-1408.152,0,-6747.431,0,-11162.499,0,-6622.49,0,0,-15655.458,0,329.799,0,0,0
Hydroelectric Conventional,17982.0368,115171.073,40188.761,81981.409,344926.691,21122.16459,5013.89615,0,0,2469.589,36386.23724,1116.67096,10689.653,120589.7535,1550.499,4586.552,218.074,39602.036,12821.895,11994.42244,23076.221,43884.13718,17531.58532,10168.12395,16225.452,0,126246.367,58007.77901,27158.938,15148.527,17097.98094,241.36286,2156.485,26059.82977,326818.1865,5049.254,29643.293,417327.3309,34055.30958,48.895,27150.79728,62761.491,108680.046,11305.70489,9938.86079,15483.21316,15465.49227,938593.414,26075.9906,18362.06,11456.024
Biogenic Municipal Solid Waste and Landfill Gas,316.106,257.662,661.298,479.233986,23031.179,399.147,7622.311414,0,1135.649409,21736.80377,1994.361,2197.36287,1228.995799,327.86,6753.702,4146.898974,602.137,1182.99,0,12593.55643,4758.960553,2185.045744,10922.59215,4681.610474,810.60877,88.419,0,4479.996481,0,703.484,1588.522872,11008.20944,22.103,313.794,19385.5681,4421.095,165.438405,2884.068772,20906.18529,1960.53,1955.440693,0,725.11,6290.2667,747.453635,11288.6011,274.574,2562.530037,5733.678977,33.325,0
Natural Gas,40551.35603,574422.4186,176716.689,394394.8098,1266777.869,152114.1276,184409.0165,465.003,60809.55518,1744686.908,474502.447,0,35442.48282,31735.6258,125867.4995,170173.8601,27391.37443,66624.09788,685204.4892,256546.9827,64324.37785,58062.21143,230752.5199,74850.27663,63019.68031,446024.4586,4687.77974,303647.8598,5311.054411,7323.091334,60926.56682,376054.2111,112340.2868,305764.373,612963.8528,275911.9033,417972.5485,181821.4448,653914.4207,86271.73904,172597.297,6437.050747,86994.23119,2555663.638,87957.55124,352259.8516,31.092895,126051.0942,129826.2449,9565.418506,7697.898884
Nuclear,0,486531.747,166717.487,378336.895,276208.433,0,198867.477,0,0,324475.0746,398588.271,0,58737.985,0,1163946.376,0,104092.147,0,196328.467,60302.091,174318.447,0,360690.526,154695.156,114374.419,111716.653,0,493734.369,0,98842.271,117928.71,386696.612,0,0,515952.418,200114.678,0,0,955910.833,0,638765.464,0,348168.784,481751.417,0,343628.681,34841.736,101732.717,135068.249,0,0
Other Gases,5.396,1608.724954,0,0,18206.12589,0,13.935848,0,2769.43582,68.477805,0,483.181421,0,0,2735.091016,26407.75687,0,10.810107,21733.50853,0,1088.686119,0,11200.10428,50.63188,16.108341,66.814951,71.002383,0,457.020069,0,0,2177.284236,0,42.329405,1.68,7711.596935,10.21895,0,6335.642184,0,0,0,155.903908,34396.35584,240.672706,0,0,4164.107118,0.01843,403.756223,3804.850127
Other Renewables ,46.279492,89.110232,333.590823,19.703461,9285.246955,419.91702,6.009,242.626,0,7253.529821,1073.535533,1500.182513,1157.900803,827.08866,57.212676,454.155,-10.326,11.957246,957.091671,132.14172,32.747112,395.604029,148.886972,3834.113813,68.653056,50.470313,0,737.18776,72.843,199.053196,5.938537,45.323028,199.226239,0,35.278,206.114379,1092.722687,446.252,225.334668,0,0,7.439339,97.703408,1156.168534,38.547,157.117649,0,242.868439,687.547172,-0.1486,0
