Source,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""Coal """,1972168.721,1742768.032,1834372.36,1720729.836,1503766.548,1571260.203,1570472.366,1338259.206,1230022.453,1195516.543,1138983.673,954226.274
"""Distillate Petroleum""",6826.776094,6692.531892,7397.465061,5979.502,4944.217,5271.7,7585.89,6787.035,5400.892,5225.022,7607.716,4812.758
"""Geothermal""",14839.97656,15008.658,15219.21312,15316.068,15544.648,15774.674,15876.941,15917.575,15825.807,15855.361,15967.134,15472.717
"""Hydroelectric Pumped Storage""",-6288.062,-4627.345,-5501.132,-6420.516,-4950.496,-4681.033,-6173.548,-5091.488,-6686.127,-6494.548,-5904.539,-5260.744
"""Hydroelectric Conventional""",254793.4398,273430.8181,260191.216,319077.263,276120.701,268531.853,259341.222,249031.834,267812.154,300325.495,292513.244,287829.947
"""Biogenic Municipal Solid Waste and Landfill Gas""",15246.71659,15981.82445,16303.9158,16350.936,17122.603,17824.3,18425.357,18490.114,18482.561,18494.546,18145.69,16485.358
"""Natural Gas""",882980.599,920978.6805,986967.7971,1012495.714,1225556.342,1123031.713,1123377.263,1319884.347,1377449.42,1295380.117,1464947.257,1584251.082
"""Nuclear""",806208.435,798854.585,806968.3006,790204.367,769331.249,789016.473,797165.982,797177.877,805693.948,804949.635,807084.477,809409.262
"""Other Gases""",11638.56569,10632.10655,11312.7869,11547.668,11897.59,12844.863,11725.953,12959.658,12807.434,12468.969,13453.513,12589.35
"""Other Renewables """,2480.617019,2460.77148,2608.666589,2823.183,2656.643,2986.331,3169.926,3125.28,3330.671,3113.961,2723.243,2369.107
"""Other (including nonbiogenic MSW)""",11790.61678,11928.33439,12855.34156,14145.49,13761.465,13556.808,13426.67,13986.241,13647.991,13096.123,12973.208,13319.574
"""Petroleum Coke""",14325.17847,12964.43326,13724.48958,13508.557,9748.412,13325.497,11908.581,10877.235,11196.552,8975.84,8980.684,6813.281
"""Residual Petroleum""",23378.64179,17878.33236,14709.34344,8730.318,7440.583,7502.901,9167.54,8960.75,6659.786,6235.864,7455.565,5505.825
"""Solar PV and thermal""",864.31479,882.78683,1195.19167,1801.491,4188.545,8951.298,17555.918,24745.42,35944.978,53135.333,63571.369,71829.401
"""Wind""",55363.10007,73547.10559,94334.56987,119418.383,139474.312,167697.135,181204.22,190640.672,226926.388,254211.174,272600.685,295786.462
"""Waste Coal""",13632.52572,13136.22109,12917.91895,11935.901,9602.573,9837.886,10511.299,8495.372,9126.213,8816.102,9074.371,6908.955
"""Waste Oil""",1692.747992,1401.217096,1229.066824,1109.257,1014.099,1034.366,1455.118,1451.3,944.521,920.511,1156.255,1186.507
"""Wood and Wood Waste""",37299.85305,36050.13828,37075.23563,37153.339,37767.162,40025.113,42249.153,41322.453,40947.019,41028.126,40909.212,38484.559
