Source_raw,Source,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NG,Natural Gas,882980599,920978680.5,986967797.1,1012495714,1225556342,1123031713,1123377263,1319884347,1377449420,1295380117,1464947257,1584251082
Coal,Coal ,1985801247,1755904253,1847290279,1732665737,1513369121,1581098089,1580983665,1346754578,1239148666,1204332645,1148058044,961135229
NUC,Nuclear,806208435,798854585,806968300.6,790204367,769331249,789016473,797165982,797177877,805693948,804949635,807084477,809409262
WND,Wind,55363100.07,73547105.59,94334569.87,119418383,139474312,167697135,181204220,190640672,226926388,254211174,272600685,295786462
HYC,Hydroelectric Conventional,254793439.8,273430818.1,260191216,319077263,276120701,268531853,259341222,249031834,267812154,300325495,292513244,287829947
SUN,Solar PV and thermal,864314.79,882786.83,1195191.67,1801491,4188545,8951298,17555918,24745420,35944978,53135333,63571369,71829401
WWW,Wood and Wood Waste,37299853.05,36050138.28,37075235.63,37153339,37767162,40025113,42249153,41322453,40947019,41028126,40909212,38484559
Petroleum,Petroleum,44530596.35,37535297.51,35831298.08,28218377,22133212,26100098,28662011,26625020,23257230,20436726,24043965,17131864
HPS,Hydroelectric Pumped Storage,-6288062,-4627345,-5501132,-6420516,-4950496,-4681033,-6173548,-5091488,-6686127,-6494548,-5904539,-5260744
Other,Other,27602547.48,26422429.51,28005861.88,29625598,29329797,30422368,29777667,31522479,30730617,29599564,30306219,29464538
MLG,Biogenic Municipal Solid Waste and Landfill Gas,15246716.59,15981824.45,16303915.8,16350936,17122603,17824300,18425357,18490114,18482561,18494546,18145690,16485358
GEO,Geothermal,14839976.56,15008658,15219213.12,15316068,15544648,15774674,15876941,15917575,15825807,15855361,15967134,15472717
