Source,Coal ,Distillate Petroleum,Geothermal,Hydroelectric Pumped Storage,Hydroelectric Conventional,Biogenic Municipal Solid Waste and Landfill Gas,Natural Gas,Nuclear,Other Gases,Other Renewables ,Other (including nonbiogenic MSW),Petroleum Coke,Residual Petroleum,Solar PV and thermal,Wind,Waste Coal,Waste Oil,Wood and Wood Waste
AK,6163.551456,4687.629372,0,0,17982.0368,316.106,40551.35603,0,5.396,46.279492,-17.082,0,1070.052672,0,1135.074,1358.656334,4730.262318,0
AL,555571.9904,1048.671607,0,0,115171.073,257.662,574422.4186,486531.747,1608.724954,89.110232,1361.882386,0,158.511466,954.14,0,0,69.776038,36539.2222
AR,327436.3055,451.268548,0,504.074,40188.761,661.298,176716.689,166717.487,0,333.590823,203.060761,0,103.889951,471.627,0,0,35.952864,17134.23497
AZ,449095.5273,640.505585,0,795.484,81981.409,479.233986,394394.8098,378336.895,0,19.703461,50.719853,0,0,28927.15889,4517.674,0,5.646077,1792.497139
CA,12845.39367,575.630595,145306.544,962.029,344926.691,23031.179,1266777.869,276208.433,18206.12589,9285.246955,9464.243576,5134.590932,13.976067,131942.3835,126944.5911,0,380.813053,41699.64787
CO,378181.2049,120.989084,59.16,-2826.083,21122.16459,399.147,152114.1276,0,0,419.91702,649.93007,0,0.009047,4882.616781,82386.50116,0,23.761052,407.70364
CT,13486.89812,719.801208,0,45.022,5013.89615,7622.311414,184409.0165,198867.477,13.935848,6.009,7640.518279,0,2301.507218,337.537,49.958,0,355.471247,1279.919024
DC,0,447.846,0,0,0,0,465.003,0,0,242.626,0,0,0,8.829,0,0,0,0
DE,17800.50269,713.265942,0,0,0,1135.649409,60809.55518,0,2769.43582,0,16.817845,0,284.421114,378.573,46.417,0,263.167478,0
FL,544764.1416,4655.186985,0,0,2469.589,21736.80377,1744686.908,324475.0746,68.477805,7253.529821,36336.25094,22632.68408,22118.38841,8498.689,0,0,28.696334,26309.97072
GA,579603.8912,1221.193457,0,-7084.801,36386.23724,1994.361,474502.447,398588.271,0,1073.535533,788.092761,3208.840325,616.148213,7289.899,0,0,5.755873,44872.56343
HI,17388.41391,15472.85694,2539.209,0,1116.67096,2197.36287,0,0,483.181421,1500.182513,4263.570102,0,67984.9321,840.748,5468.741,4.835289,5054.135675,0.009157
IA,390720.1611,1037.485757,0,0,10689.653,1228.995799,35442.48282,58737.985,0,1157.900803,19.935571,681.156317,0,31.881,184253.6338,0,1.102,21.412305
ID,764.096106,1.021,900.743,0,120589.7535,327.86,31735.6258,0,0,827.08866,863.226,0,0,1601.949,22023.947,0,0,5202.372843
IL,923651.2541,944.277393,0,0,1550.499,6753.702,125867.4995,1163946.376,2735.091016,57.212676,2817.439122,0,8.764651,439.446,103295.2769,2142.689318,0.181,1.747747
IN,1090875.676,1581.80753,0,0,4586.552,4146.898974,170173.8601,0,26407.75687,454.155,4370.5815,6310.119478,141.976179,1405.77,44205.43373,0,0,0
KS,321777.0407,560.078444,0,0,218.074,602.137,27391.37443,104092.147,0,-10.326,14.74,246.113988,-3.7115,28.238,120959.582,0,0,0
KY,915596.5401,1238.052875,0,0,39602.036,1182.99,66624.09788,0,10.810107,11.957246,369.621322,14677.39067,0,116.052,0,0,7.945,3817.181884
LA,215905.1216,413.715633,0,0,12821.895,0,685204.4892,196328.467,21733.50853,957.091671,6863.935127,45729.96166,393.075263,5.447,0,0,18.805412,30197.89853
MA,46176.45065,1902.549706,0,-5560.449,11994.42244,12593.55643,256546.9827,60302.091,0,132.14172,10124.77256,0,5152.934386,4439.415333,1707.83311,0,48.24754,1907.91383
MD,197219.0785,1954.508976,0,0,23076.221,4758.960553,64324.37785,174318.447,1088.686119,32.747112,3636.768485,0,904.680537,1672.441354,3852.487,269.511,40.665809,1677.368442
ME,1124.957621,104.554179,0,0,43884.13718,2185.045744,58062.21143,0,0,395.604029,4434.065712,0,2860.648634,24.518,14841.89,0,85.90015,36430.42407
MI,638687.3016,1353.352684,0,-9387.106,17531.58532,10922.59215,230752.5199,360690.526,11200.10428,148.886972,3827.369563,6552.190602,459.500196,334.843,35024.50876,0,16.174,19173.7152
MN,303566.0845,485.451348,0,0,10168.12395,4681.610474,74850.27663,154695.156,50.63188,3834.113813,4324.072029,138.504293,38.060172,2905.233,99102.21111,0,15.457,11867.48626
MO,832002.7955,901.54631,0,3472.705,16225.452,810.60877,63019.68031,114374.419,16.108341,68.653056,238.920095,39.501319,0,305.49,16228.981,0,93.962,271.465776
MS,105713.2505,194.29457,0,0,0,88.419,446024.4586,111716.653,66.814951,50.470313,56.909054,0,145.583796,734.116,0,0,0.397,17495.01042
MT,180105.332,120.620159,0,0,126246.367,0,4687.77974,0,71.002383,0,3327.596,5273.606756,0.718033,77.038,19386.14104,3548.155815,67.019788,424.734136
NC,594030.4106,3512.287062,0,0.116,58007.77901,4479.996481,303647.8598,493734.369,0,737.18776,6076.382106,0,233.680843,24718.91131,1542.887,0,0.01,23829.59768
ND,331699.7533,410.41452,0,0,27158.938,0,5311.054411,0,457.020069,72.843,509.033759,0,10.474559,0,79000.89463,0,10.18529,0
NE,281813.3939,254.05957,0,0,15148.527,703.484,7323.091334,98842.271,0,199.053196,0,0,1.78958,78.057,32714.808,0,0,0
NH,18318.81371,483.113428,0,0,17097.98094,1588.522872,60926.56682,117928.71,0,5.938537,662.551128,0,912.170501,0,3331.516,0,14.30946,14430.98709
NJ,37664.08566,809.846001,0,-2216.662,241.36286,11008.20944,376054.2111,386696.612,2177.284236,45.323028,7136.381997,526.766,170.782147,5903.23182,219.698,0,1408.071367,0
NM,263697.6264,711.853376,116.901,0,2156.485,22.103,112340.2868,0,0,199.226239,3.256,0,0,6657.961,37093.794,0,0,0
NV,55548.96039,166.920733,32045.81056,0,26059.82977,313.794,305764.373,0,42.329405,0,194.008,0,0,20961.40483,2336.171,0,0,0.890379
NY,74795.05794,3936.638523,0,-5517.676,326818.1865,19385.5681,612963.8528,515952.418,1.68,35.278,10961.26597,1095.351833,12223.21915,1440.843,39948.06892,0,1292.633214,6787.845547
OH,1051922.679,2981.52861,0,0,5049.254,4421.095,275911.9033,200114.678,7711.596935,206.114379,21.001581,12411.32094,4.488168,652.626676,11354.861,0,-3.489,3988.874734
OK,309661.0053,162.3199,0,-1408.152,29643.293,165.438405,417972.5485,0,10.21895,1092.722687,177.931,4.527056,11.974647,160.823,159771.7254,0,0.07677,2513.969149
OR,34336.31234,79.202756,1272.343,0,417327.3309,2884.068772,181821.4448,0,0,446.252,508.476867,0,3.618847,1558.266,70126.52362,0,6.052045,7943.952101
PA,837458.2335,4079.196148,0,-6747.431,34055.30958,20906.18529,653914.4207,955910.833,6335.642184,225.334668,10259.68392,1213.604112,1321.269809,546.00926,31735.0398,100107.8878,57.574102,6493.707599
RI,0,482.613837,0,0,48.895,1960.53,86271.73904,0,0,0,0,0,28.689343,138.486,570.224,0,0,0
SC,325719.286,1501.104271,0,-11162.499,27150.79728,1955.440693,172597.297,638765.464,0,0,742.109047,462.900926,78.789151,1462.652,0,0,247.946662,23942.4629
SD,31815.64261,107.633277,0,0,62761.491,0,6437.050747,0,0,7.439339,61.856069,0,0,5.921,27249.64969,0,0,0
TN,416046.6476,1912.933742,0,-6622.49,108680.046,725.11,86994.23119,348168.784,155.903908,97.703408,107.853001,0,0,801.082,546.854,0,11.482676,10572.83045
TX,1610946.95,1075.954607,0,0,11305.70489,6290.2667,2555663.638,481751.417,34396.35584,1156.168534,5477.706142,6545.796239,72.216588,11491.943,529889.4882,0,27.972031,11064.22216
UT,369416.7479,440.125393,4467.25312,0,9938.86079,747.453635,87957.55124,0,240.672706,38.547,1987.208205,0,0,7712.708,7027.26482,4924.437993,0,0
VA,216017.5096,5158.211298,0,-15655.458,15483.21316,11288.6011,352259.8516,343628.681,0,157.117649,5276.074662,0,4013.042657,2046.312,0,0,52.118688,27166.20402
VT,0,22.493334,0,0,15465.49227,274.574,31.092895,34841.736,0,0,-1.263,0,7.848,507.589,2395.919,0,21.392,4963.345771
WA,74597.20242,202.244936,0,329.799,938593.414,2562.530037,126051.0942,101732.717,4164.107118,242.868439,1085.654416,0,72.828922,50.546,75728.69536,317.155,68.287599,18083.98015
WI,435998.5908,469.652721,0,0,26075.9906,5733.678977,129826.2449,135068.249,0.01843,687.547172,688.170611,4160.934783,31.428734,104.321,16809.599,0,1.502704,11309.85798
WV,847948.5406,1770.305189,0,0,18362.06,33.325,9565.418506,0,403.756223,-0.1486,-40.676297,0,0,0,15191.765,11561.47026,5.241596,-0.844334
WY,501208.9779,541.66326,0,0,11456.024,0,7697.898884,0,3804.850127,0,816.75385,0,0.049992,180.962,44942.23262,0,28.62,0
