SUMLEV,REGION,DIVISION,STATE,COUNTY,adj,adj,COUNTY_FIPS,STNAME,CTYNAME,POPESTIMATE2016
40,3,6,1,0,1,0,1000,Alabama,Alabama,4863525
50,3,6,1,1,1,0,1001,Alabama,Autauga County,55243
50,3,6,1,3,1,0,1003,Alabama,Baldwin County,207601
50,3,6,1,5,1,0,1005,Alabama,Barbour County,25806
50,3,6,1,7,1,0,1007,Alabama,Bibb County,22586
50,3,6,1,9,1,0,1009,Alabama,Blount County,57494
50,3,6,1,11,2,0,1011,Alabama,Bullock County,10389
50,3,6,1,13,2,0,1013,Alabama,Butler County,20012
50,3,6,1,15,2,0,1015,Alabama,Calhoun County,114973
50,3,6,1,17,2,0,1017,Alabama,Chambers County,33745
50,3,6,1,19,2,0,1019,Alabama,Cherokee County,25768
50,3,6,1,21,2,0,1021,Alabama,Chilton County,43866
50,3,6,1,23,2,0,1023,Alabama,Choctaw County,13045
50,3,6,1,25,2,0,1025,Alabama,Clarke County,24340
50,3,6,1,27,2,0,1027,Alabama,Clay County,13393
50,3,6,1,29,2,0,1029,Alabama,Cleburne County,14848
50,3,6,1,31,2,0,1031,Alabama,Coffee County,51202
50,3,6,1,33,2,0,1033,Alabama,Colbert County,54497
50,3,6,1,35,2,0,1035,Alabama,Conecuh County,12500
50,3,6,1,37,2,0,1037,Alabama,Coosa County,10819
50,3,6,1,39,2,0,1039,Alabama,Covington County,37382
50,3,6,1,41,2,0,1041,Alabama,Crenshaw County,13916
50,3,6,1,43,2,0,1043,Alabama,Cullman County,82450
50,3,6,1,45,2,0,1045,Alabama,Dale County,49362
50,3,6,1,47,2,0,1047,Alabama,Dallas County,40080
50,3,6,1,49,2,0,1049,Alabama,DeKalb County,71104
50,3,6,1,51,2,0,1051,Alabama,Elmore County,81204
50,3,6,1,53,2,0,1053,Alabama,Escambia County,37475
50,3,6,1,55,2,0,1055,Alabama,Etowah County,102855
50,3,6,1,57,2,0,1057,Alabama,Fayette County,16563
50,3,6,1,59,2,0,1059,Alabama,Franklin County,31611
50,3,6,1,61,2,0,1061,Alabama,Geneva County,26494
50,3,6,1,63,2,0,1063,Alabama,Greene County,8482
50,3,6,1,65,2,0,1065,Alabama,Hale County,14828
50,3,6,1,67,2,0,1067,Alabama,Henry County,17072
50,3,6,1,69,2,0,1069,Alabama,Houston County,104218
50,3,6,1,71,2,0,1071,Alabama,Jackson County,51988
50,3,6,1,73,2,0,1073,Alabama,Jefferson County,660343
50,3,6,1,75,2,0,1075,Alabama,Lamar County,13928
50,3,6,1,77,2,0,1077,Alabama,Lauderdale County,92425
50,3,6,1,79,2,0,1079,Alabama,Lawrence County,33227
50,3,6,1,81,2,0,1081,Alabama,Lee County,159168
50,3,6,1,83,2,0,1083,Alabama,Limestone County,92847
50,3,6,1,85,2,0,1085,Alabama,Lowndes County,10248
50,3,6,1,87,2,0,1087,Alabama,Macon County,19060
50,3,6,1,89,2,0,1089,Alabama,Madison County,356729
