source,target,value
Coal,Agriculture,272104
Coal,Manufacturing,771361032
Coal,Mining,231130542
Coke_and_breeze,Manufacturing,54350002
Diesel,Agriculture,434076206
Diesel,Construction,753692337
Diesel,Manufacturing,80291898
Diesel,Mining,194819467
LPG_NGL,Agriculture,136611176
LPG_NGL,Construction,33747654
LPG_NGL,Manufacturing,49859472
LPG_NGL,Mining,5222436
Natural_gas,Agriculture,3942107
Natural_gas,Construction,175942654
Natural_gas,Manufacturing,6289453049
Natural_gas,Mining,3148557753
Other,Agriculture,126689436
Other,Manufacturing,4857474031
Other,Mining,144580328
Residual_fuel_oil,Agriculture,44431149
Residual_fuel_oil,Manufacturing,26102760
Residual_fuel_oil,Mining,95135972
