source,target,value
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Other,Manufacturing,1
Other,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coal,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
LPG_NGL,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Other,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
LPG_NGL,Manufacturing,1
Other,Manufacturing,1
LPG_NGL,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
LPG_NGL,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
LPG_NGL,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Other,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Other,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
LPG_NGL,Manufacturing,1
LPG_NGL,Manufacturing,1
Other,Manufacturing,1
Other,Manufacturing,1
Other,Manufacturing,1
Other,Manufacturing,1
Other,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Coal,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Other,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Other,Manufacturing,1
Diesel,Manufacturing,1
Other,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
LPG_NGL,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Diesel,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Residual_fuel_oil,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Coke_and_breeze,Manufacturing,1
Other,Manufacturing,1
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Diesel,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Coal,Manufacturing,2
Coal,Manufacturing,2
Coal,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Other,Manufacturing,2
Other,Manufacturing,2
Other,Manufacturing,2
Other,Manufacturing,2
Diesel,Manufacturing,2
LPG_NGL,Manufacturing,2
Other,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Coal,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Other,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Residual_fuel_oil,Manufacturing,2
Other,Manufacturing,2
Coke_and_breeze,Manufacturing,2
Diesel,Manufacturing,2
Diesel,Manufacturing,3
Residual_fuel_oil,Manufacturing,3
LPG_NGL,Manufacturing,3
Natural_gas,Manufacturing,3
Other,Manufacturing,3
LPG_NGL,Manufacturing,3
Other,Manufacturing,3
Residual_fuel_oil,Manufacturing,3
Residual_fuel_oil,Manufacturing,3
